,Word,Frequency,Zipf Frequency,Part of Speech,Phonemes
0,the,0.0537,7.73,PRON,"['DH', 'AH0']"
1,to,0.0269,7.43,PART,"['T', 'UW1']"
2,and,0.0257,7.41,CCONJ,"['AH0', 'N', 'D']"
3,of,0.0251,7.4,ADP,"['AH1', 'V']"
4,a,0.0229,7.36,PRON,['AH0']
5,in,0.0186,7.27,ADP,"['IH0', 'N']"
6,is,0.0117,7.07,AUX,"['IH1', 'Z']"
7,for,0.0102,7.01,ADP,"['F', 'AO1', 'R']"
8,that,0.0102,7.01,PRON,"['DH', 'AE1', 'T']"
9,you,0.00955,6.98,PRON,"['Y', 'UW1']"
10,it,0.00891,6.95,PRON,"['IH1', 'T']"
11,on,0.00813,6.91,ADP,"['AA1', 'N']"
12,with,0.00708,6.85,ADP,"['W', 'IH1', 'DH']"
13,was,0.00661,6.82,AUX,"['W', 'AA1', 'Z']"
14,as,0.00589,6.77,ADP,"['AE1', 'Z']"
15,are,0.0055,6.74,AUX,"['AA1', 'R']"
16,have,0.00513,6.71,VERB,"['HH', 'AE1', 'V']"
17,at,0.00501,6.7,ADP,"['AE1', 'T']"
18,he,0.0049,6.69,PRON,"['HH', 'IY1']"
19,not,0.0049,6.69,PART,"['N', 'AA1', 'T']"
20,by,0.00457,6.66,ADP,"['B', 'AY1']"
21,but,0.00427,6.63,CCONJ,"['B', 'AH1', 'T']"
22,from,0.00427,6.63,ADP,"['F', 'R', 'AH1', 'M']"
23,my,0.00372,6.57,PRON,"['M', 'AY1']"
24,an,0.00339,6.53,PRON,"['AE1', 'N']"
25,your,0.00339,6.53,PRON,"['Y', 'AO1', 'R']"
26,all,0.00331,6.52,ADV,"['AO1', 'L']"
27,his,0.00324,6.51,PRON,"['HH', 'IH1', 'Z']"
28,they,0.00316,6.5,PRON,"['DH', 'EY1']"
29,me,0.00302,6.48,PRON,"['M', 'IY1']"
30,if,0.00295,6.47,SCONJ,"['IH1', 'F']"
31,one,0.00295,6.47,NUM,"['W', 'AH1', 'N']"
32,can,0.00288,6.46,AUX,"['K', 'AE1', 'N']"
33,will,0.00282,6.45,AUX,"['W', 'IH1', 'L']"
34,just,0.00269,6.43,ADV,"['JH', 'AH1', 'S', 'T']"
35,like,0.00257,6.41,INTJ,"['L', 'AY1', 'K']"
36,about,0.00251,6.4,ADP,"['AH0', 'B', 'AW1', 'T']"
37,up,0.00245,6.39,ADP,"['AH1', 'P']"
38,what,0.0024,6.38,PRON,"['W', 'AH1', 'T']"
39,has,0.00234,6.37,VERB,"['HH', 'AE1', 'Z']"
40,when,0.00234,6.37,SCONJ,"['W', 'EH1', 'N']"
41,more,0.00229,6.36,ADJ,"['M', 'AO1', 'R']"
42,were,0.00219,6.34,AUX,"['W', 'ER0']"
43,who,0.00219,6.34,PRON,"['HH', 'UW1']"
44,their,0.00214,6.33,PRON,"['DH', 'EH1', 'R']"
45,her,0.002,6.3,PRON,"['HH', 'ER0']"
