,Word,Frequency,Zipf Frequency,Part of Speech,Phonemes
0,the,0.0537,7.73,PRON,"['DH', 'AH0']"
1,to,0.0269,7.43,PART,"['T', 'UW1']"
2,and,0.0257,7.41,CCONJ,"['AH0', 'N', 'D']"
3,of,0.0251,7.4,ADP,"['AH1', 'V']"
4,a,0.0229,7.36,PRON,['AH0']
5,in,0.0186,7.27,ADP,"['IH0', 'N']"
6,i,0.0123,7.09,PRON,['AY1']
7,is,0.0117,7.07,AUX,"['IH1', 'Z']"
8,for,0.0102,7.01,ADP,"['F', 'AO1', 'R']"
9,that,0.0102,7.01,PRON,"['DH', 'AE1', 'T']"
10,you,0.00955,6.98,PRON,"['Y', 'UW1']"
11,it,0.00891,6.95,PRON,"['IH1', 'T']"
12,on,0.00813,6.91,ADP,"['AA1', 'N']"
13,with,0.00708,6.85,ADP,"['W', 'IH1', 'DH']"
14,this,0.00661,6.82,PRON,"['DH', 'IH1', 'S']"
15,was,0.00661,6.82,AUX,"['W', 'AA1', 'Z']"
16,be,0.00617,6.79,AUX,"['B', 'IY1']"
17,as,0.00589,6.77,ADP,"['AE1', 'Z']"
18,are,0.0055,6.74,AUX,"['AA1', 'R']"
19,at,0.00501,6.7,ADP,"['AE1', 'T']"
20,he,0.0049,6.69,PRON,"['HH', 'IY1']"
21,not,0.0049,6.69,PART,"['N', 'AA1', 'T']"
22,by,0.00457,6.66,ADP,"['B', 'AY1']"
23,but,0.00427,6.63,CCONJ,"['B', 'AH1', 'T']"
24,from,0.00427,6.63,ADP,"['F', 'R', 'AH1', 'M']"
25,my,0.00372,6.57,PRON,"['M', 'AY1']"
26,or,0.00347,6.54,CCONJ,"['AO1', 'R']"
27,we,0.00347,6.54,PRON,"['W', 'IY1']"
28,all,0.00331,6.52,ADV,"['AO1', 'L']"
29,so,0.00331,6.52,ADV,"['S', 'OW1']"
30,they,0.00316,6.5,PRON,"['DH', 'EY1']"
31,if,0.00295,6.47,SCONJ,"['IH1', 'F']"
32,can,0.00288,6.46,AUX,"['K', 'AE1', 'N']"
33,will,0.00282,6.45,AUX,"['W', 'IH1', 'L']"
34,just,0.00269,6.43,ADV,"['JH', 'AH1', 'S', 'T']"
35,about,0.00251,6.4,ADP,"['AH0', 'B', 'AW1', 'T']"
36,up,0.00245,6.39,ADP,"['AH1', 'P']"
37,out,0.0024,6.38,ADP,"['AW1', 'T']"
38,what,0.0024,6.38,PRON,"['W', 'AH1', 'T']"
39,when,0.00234,6.37,SCONJ,"['W', 'EH1', 'N']"
40,do,0.00224,6.35,VERB,"['D', 'UW1']"
41,no,0.00224,6.35,PRON,"['N', 'OW1']"
42,were,0.00219,6.34,AUX,"['W', 'ER0']"
43,had,0.00214,6.33,VERB,"['HH', 'AE1', 'D']"
44,their,0.00214,6.33,PRON,"['DH', 'EH1', 'R']"
45,there,0.00204,6.31,PRON,"['DH', 'EH1', 'R']"
