,Word,Frequency,Zipf Frequency,Part of Speech,Phonemes
0,to,0.0269,7.43,PART,"['T', 'UW1']"
1,of,0.0251,7.4,ADP,"['AH1', 'V']"
2,a,0.0229,7.36,PRON,['AH0']
3,in,0.0186,7.27,ADP,"['IH0', 'N']"
4,i,0.0123,7.09,PRON,['AY1']
5,is,0.0117,7.07,AUX,"['IH1', 'Z']"
6,for,0.0102,7.01,ADP,"['F', 'AO1', 'R']"
7,that,0.0102,7.01,PRON,"['DH', 'AE1', 'T']"
8,you,0.00955,6.98,PRON,"['Y', 'UW1']"
9,it,0.00891,6.95,PRON,"['IH1', 'T']"
10,this,0.00661,6.82,PRON,"['DH', 'IH1', 'S']"
11,was,0.00661,6.82,AUX,"['W', 'AA1', 'Z']"
12,be,0.00617,6.79,AUX,"['B', 'IY1']"
13,as,0.00589,6.77,ADP,"['AE1', 'Z']"
14,are,0.0055,6.74,AUX,"['AA1', 'R']"
15,have,0.00513,6.71,VERB,"['HH', 'AE1', 'V']"
16,he,0.0049,6.69,PRON,"['HH', 'IY1']"
17,but,0.00427,6.63,CCONJ,"['B', 'AH1', 'T']"
18,my,0.00372,6.57,PRON,"['M', 'AY1']"
19,or,0.00347,6.54,CCONJ,"['AO1', 'R']"
20,we,0.00347,6.54,PRON,"['W', 'IY1']"
21,an,0.00339,6.53,PRON,"['AE1', 'N']"
22,your,0.00339,6.53,PRON,"['Y', 'AO1', 'R']"
23,so,0.00331,6.52,ADV,"['S', 'OW1']"
24,his,0.00324,6.51,PRON,"['HH', 'IH1', 'Z']"
25,they,0.00316,6.5,PRON,"['DH', 'EY1']"
26,me,0.00302,6.48,PRON,"['M', 'IY1']"
27,if,0.00295,6.47,SCONJ,"['IH1', 'F']"
28,one,0.00295,6.47,NUM,"['W', 'AH1', 'N']"
29,can,0.00288,6.46,AUX,"['K', 'AE1', 'N']"
30,will,0.00282,6.45,AUX,"['W', 'IH1', 'L']"
31,just,0.00269,6.43,ADV,"['JH', 'AH1', 'S', 'T']"
32,like,0.00257,6.41,INTJ,"['L', 'AY1', 'K']"
33,out,0.0024,6.38,ADP,"['AW1', 'T']"
34,what,0.0024,6.38,PRON,"['W', 'AH1', 'T']"
35,has,0.00234,6.37,VERB,"['HH', 'AE1', 'Z']"
36,more,0.00229,6.36,ADJ,"['M', 'AO1', 'R']"
37,do,0.00224,6.35,VERB,"['D', 'UW1']"
38,no,0.00224,6.35,PRON,"['N', 'OW1']"
39,were,0.00219,6.34,AUX,"['W', 'ER0']"
40,who,0.00219,6.34,PRON,"['HH', 'UW1']"
41,had,0.00214,6.33,VERB,"['HH', 'AE1', 'D']"
42,their,0.00214,6.33,PRON,"['DH', 'EH1', 'R']"
43,there,0.00204,6.31,PRON,"['DH', 'EH1', 'R']"
44,her,0.002,6.3,PRON,"['HH', 'ER0']"
45,which,0.002,6.3,PRON,"['W', 'IH1', 'CH']"
46,time,0.00195,6.29,NOUN,"['T', 'AY1', 'M']"
47,get,0.00191,6.28,VERB,"['G', 'EH1', 'T']"
48,been,0.00186,6.27,AUX,"['B', 'IH1', 'N']"
