,neuron_idx,layer_name,fi_len,fi_frq,fi_mor
0,0,encoder,0.0,0.0,0.0
1,1,encoder,0.05502153444058564,0.0037300155106211497,0.001800241934203094
2,2,encoder,0.0,0.0,0.0
3,3,encoder,0.0,0.0,0.0
4,4,encoder,0.0,0.0,0.0
5,5,encoder,0.0,0.0,0.0
6,6,encoder,0.0,0.0,0.0
7,7,encoder,0.0,0.0,0.0
8,8,encoder,0.0,0.0,0.0
9,9,encoder,0.0,0.0,0.0
10,10,encoder,0.029174328645500163,-0.0036926995369522698,-0.004524665275755666
11,11,encoder,0.0,0.0,0.0
12,12,encoder,0.0,0.0,0.0
13,13,encoder,0.0,0.0,0.0
14,14,encoder,0.0,0.0,0.0
15,15,encoder,0.0,0.0,0.0
16,16,encoder,0.0,0.0,0.0
17,17,encoder,0.0,0.0,0.0
18,18,encoder,0.06215996020556665,0.0067602095747448755,-0.013346349735854747
19,19,encoder,0.0,0.0,0.0
20,20,encoder,0.0,0.0,0.0
21,21,encoder,-0.0012412763361746737,0.004798453327146419,-0.0011539193882783116
22,22,encoder,0.06775277079212066,0.02424948839202531,-0.0018552930065545148
23,23,encoder,0.0,0.0,0.0
24,24,encoder,0.08122650524458187,0.019450428961005548,0.006127563711951866
25,25,encoder,0.0,0.0,0.0
26,26,encoder,0.0,0.0,0.0
27,27,encoder,0.0,0.0,0.0
28,28,encoder,0.023668990880895295,0.007274688941284028,-0.00021675226364647581
29,29,encoder,0.0,0.0,0.0
30,30,encoder,0.012018265196654263,0.011102450695990832,0.0001853857080061283
31,31,encoder,0.47033444446913014,-0.002682455780270868,-0.005063023732338374
32,32,encoder,0.0,0.0,0.0
33,33,encoder,0.0,0.0,0.0
34,34,encoder,0.0,0.0,0.0
35,35,encoder,0.0,0.0,0.0
36,36,encoder,0.0,0.0,0.0
37,37,encoder,0.0,0.0,0.0
38,38,encoder,0.0,0.0,0.0
39,39,encoder,0.0,0.0,0.0
40,40,encoder,0.0,0.0,0.0
41,41,encoder,0.0,0.0,0.0
42,42,encoder,-0.0015289031332709024,-4.430644499467062e-05,-0.003495431070211372
43,43,encoder,0.0,0.0,0.0
44,44,encoder,0.0,0.0,0.0
45,45,encoder,0.025502486133692468,0.014215526712530444,-0.003367477111629814
46,46,encoder,0.0,0.0,0.0
47,47,encoder,0.0,0.0,0.0
48,48,encoder,0.0,0.0,0.0
49,49,encoder,1.5038655709841477,0.000566746831110485,0.005191359051902603
50,50,encoder,0.0,0.0,0.0
51,51,encoder,-0.0031551214097970326,0.0027589033546119345,-0.009284816406990809
52,52,encoder,0.0,0.0,0.0
53,53,encoder,0.0,0.0,0.0
54,54,encoder,0.0,0.0,0.0
55,55,encoder,0.0,0.0,0.0
56,56,encoder,0.08183330413086623,-0.00041191660375369257,-0.013056668138929067
57,57,encoder,0.013444364564936157,0.0024169093222301996,-0.0005446430758904774
58,58,encoder,0.0,0.0,0.0
59,59,encoder,0.0,0.0,0.0
60,60,encoder,0.0,0.0,0.0
61,61,encoder,0.030116056047332883,0.0002972031611161252,-0.0008536229968867248
62,62,encoder,0.008282665661079996,0.008638322941865798,0.0009075385483161058
63,63,encoder,0.0,0.0,0.0
64,64,encoder,0.0,0.0,0.0
65,65,encoder,0.0,0.0,0.0
66,66,encoder,0.0,0.0,0.0
67,67,encoder,0.0,0.0,0.0
68,68,encoder,0.0,0.0,0.0
69,69,encoder,0.06412715597078807,0.0040092127576231585,-0.004589040290367827
70,70,encoder,0.0,0.0,0.0
71,71,encoder,0.0032833985628180386,0.003304045399548361,0.003293684811459565
72,72,encoder,0.0,0.0,0.0
73,73,encoder,0.08565194801245282,0.011040286447205998,0.012789046777344349
74,74,encoder,0.018878322844873688,-0.00264251994962747,0.003076522931946928
75,75,encoder,0.032303343116432445,0.00927661125300825,5.948992767049854e-05
76,76,encoder,0.0,0.0,0.0
77,77,encoder,0.0,0.0,0.0
78,78,encoder,0.004531031360401644,0.004151953309769652,0.002052768359360245
79,79,encoder,0.0,0.0,0.0
80,80,encoder,0.10384971541910427,-0.01235193644905018,0.001077754452717108
81,81,encoder,0.0,0.0,0.0
82,82,encoder,0.0,0.0,0.0
83,83,encoder,0.01283374002541626,0.002808624556175371,-8.956991734232478e-05
84,84,encoder,0.0,0.0,0.0
85,85,encoder,0.0,0.0,0.0
86,86,encoder,0.0,0.0,0.0
87,87,encoder,0.0,0.0,0.0
88,88,encoder,0.0,0.0,0.0
89,89,encoder,0.0,0.0,0.0
90,90,encoder,0.0,0.0,0.0
91,91,encoder,0.00804841272347512,-1.2859904070252614e-05,-0.0073648888551881685
92,92,encoder,0.0,0.0,0.0
93,93,encoder,0.0,0.0,0.0
94,94,encoder,0.0,0.0,0.0
95,95,encoder,0.0,0.0,0.0
96,96,encoder,0.01883257632889292,0.002007915284011198,0.009947782957753941
97,97,encoder,0.015539821330177936,0.0010635692485327752,0.0011430560633823327
98,98,encoder,0.0,0.0,0.0
99,99,encoder,0.0,0.0,0.0
100,100,encoder,0.0,0.0,0.0
101,101,encoder,0.0,0.0,0.0
102,102,encoder,0.0,0.0,0.0
103,103,encoder,0.0,0.0,0.0
104,104,encoder,0.0,0.0,0.0
105,105,encoder,0.0,0.0,0.0
106,106,encoder,0.0,0.0,0.0
107,107,encoder,0.0,0.0,0.0
108,108,encoder,0.0,0.0,0.0
109,109,encoder,0.019308895249587586,0.0069700560283370025,0.0014000728670415718
110,110,encoder,0.030474990330073757,-0.0002282170465933675,-0.0034386868896290734
111,111,encoder,0.0,0.0,0.0
112,112,encoder,0.0,0.0,0.0
113,113,encoder,0.03412927290888071,0.004681121825320497,-0.009234813191214311
114,114,encoder,0.0,0.0,0.0
115,115,encoder,0.0,0.0,0.0
116,116,encoder,0.02558809455899245,0.0033051557657187126,-0.001381897827276869
117,117,encoder,0.0,0.0,0.0
118,118,encoder,0.0,0.0,0.0
119,119,encoder,0.0,0.0,0.0
120,120,encoder,0.0,0.0,0.0
121,121,encoder,0.018886845519719017,0.015289985654144295,0.002165437263554123
122,122,encoder,0.0,0.0,0.0
123,123,encoder,0.0,0.0,0.0
124,124,encoder,0.0,0.0,0.0
125,125,encoder,0.0,0.0,0.0
126,126,encoder,0.0,0.0,0.0
127,127,encoder,0.0,0.0,0.0
128,0,decoder,0.0,0.0,0.0
129,1,decoder,0.0,0.0,0.0
130,2,decoder,0.0,0.0,0.0
131,3,decoder,0.0,0.0,0.0
132,4,decoder,0.0,0.0,0.0
133,5,decoder,0.0,0.0,0.0
134,6,decoder,0.0,0.0,0.0
135,7,decoder,0.0,0.0,0.0
136,8,decoder,0.0,0.0,0.0
137,9,decoder,0.0,0.0,0.0
138,10,decoder,0.0,0.0,0.0
139,11,decoder,0.0,0.0,0.0
140,12,decoder,0.0,0.0,0.0
141,13,decoder,0.0,0.0,0.0
142,14,decoder,0.0,0.0,0.0
143,15,decoder,0.0,0.0,0.0
144,16,decoder,0.0,0.0,0.0
145,17,decoder,0.0,0.0,0.0
146,18,decoder,0.0,0.0,0.0
147,19,decoder,0.0,0.0,0.0
148,20,decoder,0.0,0.0,0.0
149,21,decoder,0.0,0.0,0.0
150,22,decoder,0.0,0.0,0.0
151,23,decoder,0.0,0.0,0.0
152,24,decoder,0.0,0.0,0.0
153,25,decoder,0.0,0.0,0.0
154,26,decoder,0.0,0.0,0.0
155,27,decoder,0.0,0.0,0.0
156,28,decoder,0.0,0.0,0.0
157,29,decoder,0.0,0.0,0.0
158,30,decoder,0.0,0.0,0.0
159,31,decoder,0.04272968167224715,-0.0008644234007111118,-0.0041102319844319515
160,32,decoder,0.0,0.0,0.0
161,33,decoder,0.0,0.0,0.0
162,34,decoder,0.0,0.0,0.0
163,35,decoder,0.0,0.0,0.0
164,36,decoder,0.0,0.0,0.0
165,37,decoder,0.0,0.0,0.0
166,38,decoder,0.0,0.0,0.0
167,39,decoder,0.0,0.0,0.0
168,40,decoder,0.0,0.0,0.0
169,41,decoder,0.0,0.0,0.0
170,42,decoder,0.0,0.0,0.0
171,43,decoder,0.0,0.0,0.0
172,44,decoder,0.0,0.0,0.0
173,45,decoder,0.0,0.0,0.0
174,46,decoder,0.0,0.0,0.0
175,47,decoder,0.0,0.0,0.0
176,48,decoder,0.0,0.0,0.0
177,49,decoder,0.0,0.0,0.0
178,50,decoder,0.0,0.0,0.0
179,51,decoder,0.0,0.0,0.0
180,52,decoder,0.0,0.0,0.0
181,53,decoder,0.0,0.0,0.0
182,54,decoder,0.0,0.0,0.0
183,55,decoder,0.0,0.0,0.0
184,56,decoder,0.0,0.0,0.0
185,57,decoder,0.0,0.0,0.0
186,58,decoder,0.0,0.0,0.0
187,59,decoder,0.0,0.0,0.0
188,60,decoder,0.0,0.0,0.0
189,61,decoder,0.0,0.0,0.0
190,62,decoder,0.008613619368732435,0.0029406617726653985,0.003976758475086816
191,63,decoder,0.0,0.0,0.0
192,64,decoder,0.0,0.0,0.0
193,65,decoder,0.0,0.0,0.0
194,66,decoder,0.0,0.0,0.0
195,67,decoder,0.0,0.0,0.0
196,68,decoder,0.0,0.0,0.0
197,69,decoder,0.0,0.0,0.0
198,70,decoder,0.0,0.0,0.0
199,71,decoder,0.0,0.0,0.0
200,72,decoder,0.0,0.0,0.0
201,73,decoder,0.0,0.0,0.0
202,74,decoder,0.0,0.0,0.0
203,75,decoder,0.0,0.0,0.0
204,76,decoder,0.0,0.0,0.0
205,77,decoder,0.0,0.0,0.0
206,78,decoder,0.0,0.0,0.0
207,79,decoder,0.0,0.0,0.0
208,80,decoder,0.0,0.0,0.0
209,81,decoder,0.0,0.0,0.0
210,82,decoder,0.0,0.0,0.0
211,83,decoder,0.0,0.0,0.0
212,84,decoder,0.0,0.0,0.0
213,85,decoder,0.0,0.0,0.0
214,86,decoder,0.0,0.0,0.0
215,87,decoder,0.0,0.0,0.0
216,88,decoder,0.0,0.0,0.0
217,89,decoder,0.0,0.0,0.0
