,Word,Phonemes,No Stress,Length,Morphology,Condition,Size
128,tog,"['T', 'AO1', 'G']","['T', 'AO', 'G']",3,simple,PSS,short
154,mim,"['M', 'IH1', 'M']","['M', 'IH', 'M']",3,simple,PSS,short
167,fut,"['F', 'AH1', 'T']","['F', 'AH', 'T']",3,simple,PSS,short
175,mus,"['M', 'AH1', 'S']","['M', 'AH', 'S']",3,simple,PSS,short
259,fug,"['F', 'AH1', 'G']","['F', 'AH', 'G']",3,simple,PSS,short
249,fed,"['F', 'EH1', 'D']","['F', 'EH', 'D']",3,simple,PSS,short
327,asy,"['EY1', 'S', 'IY0']","['EY', 'S', 'IY']",3,simple,PSS,short
377,vin,"['V', 'IH1', 'N']","['V', 'IH', 'N']",3,simple,PSS,short
388,vig,"['V', 'IH1', 'G']","['V', 'IH', 'G']",3,simple,PSS,short
407,frew,"['F', 'R', 'UW1']","['F', 'R', 'UW']",3,simple,PSS,short
444,zom,"['Z', 'AA1', 'M']","['Z', 'AA', 'M']",3,simple,PSS,short
447,wid,"['W', 'IH1', 'D']","['W', 'IH', 'D']",3,simple,PSS,short
488,mun,"['M', 'AH1', 'N']","['M', 'AH', 'N']",3,simple,PSS,short
493,dav,"['D', 'AA1', 'V']","['D', 'AA', 'V']",3,simple,PSS,short
516,tob,"['T', 'AA1', 'B']","['T', 'AA', 'B']",3,simple,PSS,short
518,bia,"['B', 'IY1', 'AH0']","['B', 'IY', 'AH']",3,simple,PSS,short
520,puz,"['P', 'UH1', 'Z']","['P', 'UH', 'Z']",3,simple,PSS,short
522,vid,"['V', 'IH1', 'D']","['V', 'IH', 'D']",3,simple,PSS,short
527,dop,"['D', 'AA1', 'P']","['D', 'AA', 'P']",3,simple,PSS,short
8466,thurse,"['TH', 'ER1', 'S']","['TH', 'ER', 'S']",3,simple,PSS,short
5528,thowl,"['TH', 'OW1', 'L']","['TH', 'OW', 'L']",3,simple,PSS,short
5145,shoide,"['SH', 'OY1', 'D']","['SH', 'OY', 'D']",3,simple,PSS,short
4787,choune,"['CH', 'UW1', 'N']","['CH', 'UW', 'N']",3,simple,PSS,short
3829,cherve,"['CH', 'ER1', 'V']","['CH', 'ER', 'V']",3,simple,PSS,short
3016,terth,"['T', 'ER1', 'DH']","['T', 'ER', 'DH']",3,simple,PSS,short
2038,yug,"['Y', 'AH1', 'G']","['Y', 'AH', 'G']",3,simple,PSS,short
1392,gerf,"['G', 'ER1', 'F']","['G', 'ER', 'F']",3,simple,PSS,short
1149,poin,"['P', 'OY1', 'N']","['P', 'OY', 'N']",3,simple,PSS,short
1139,pook,"['P', 'UH1', 'K']","['P', 'UH', 'K']",3,simple,PSS,short
1131,spee,"['S', 'P', 'IY1']","['S', 'P', 'IY']",3,simple,PSS,short
1135,thet,"['TH', 'EH1', 'T']","['TH', 'EH', 'T']",3,simple,PSS,short
923,clow,"['K', 'L', 'OW1']","['K', 'L', 'OW']",3,simple,PSS,short
885,jerf,"['JH', 'ER1', 'F']","['JH', 'ER', 'F']",3,simple,PSS,short
828,pash,"['P', 'AE1', 'SH']","['P', 'AE', 'SH']",3,simple,PSS,short
