,Word,Phonemes,No Stress,Length,Morphology,Condition,Size
3371,durivat,"['D', 'UH0', 'R', 'IY1', 'V', 'AH0', 'T']","['D', 'UH', 'R', 'IY', 'V', 'AH', 'T']",7,simple,PLS,long
4632,spryfor,"['S', 'P', 'R', 'IY1', 'F', 'AO0', 'R']","['S', 'P', 'R', 'IY', 'F', 'AO', 'R']",7,simple,PLS,long
3410,hasiden,"['HH', 'AE1', 'Z', 'IH0', 'D', 'AH0', 'N']","['HH', 'AE', 'Z', 'IH', 'D', 'AH', 'N']",7,simple,PLS,long
8445,conermate,"['K', 'OW1', 'N', 'ER0', 'M', 'EY2', 'T']","['K', 'OW', 'N', 'ER', 'M', 'EY', 'T']",7,simple,PLS,long
9285,thamises,"['TH', 'AE1', 'M', 'AH0', 'S', 'AH0', 'Z']","['TH', 'AE', 'M', 'AH', 'S', 'AH', 'Z']",7,simple,PLS,long
3682,winagen,"['W', 'IH1', 'N', 'AH0', 'G', 'AH0', 'N']","['W', 'IH', 'N', 'AH', 'G', 'AH', 'N']",7,simple,PLS,long
4829,namsessi,"['N', 'AA0', 'M', 'S', 'EH1', 'S', 'IY0']","['N', 'AA', 'M', 'S', 'EH', 'S', 'IY']",7,simple,PLS,long
5415,idstary,"['AY1', 'D', 'S', 'T', 'EH2', 'R', 'IY0']","['AY', 'D', 'S', 'T', 'EH', 'R', 'IY']",7,simple,PLS,long
3697,onlatin,"['AA1', 'N', 'L', 'AH0', 'T', 'IH0', 'N']","['AA', 'N', 'L', 'AH', 'T', 'IH', 'N']",7,simple,PLS,long
7056,huxice,"['HH', 'AH1', 'K', 'S', 'IH0', 'K', 'S']","['HH', 'AH', 'K', 'S', 'IH', 'K', 'S']",7,simple,PLS,long
3853,sinempt,"['S', 'IH1', 'N', 'AH0', 'M', 'P', 'T']","['S', 'IH', 'N', 'AH', 'M', 'P', 'T']",7,simple,PLS,long
5524,contring,"['K', 'AA1', 'N', 'T', 'R', 'IH0', 'NG']","['K', 'AA', 'N', 'T', 'R', 'IH', 'NG']",7,simple,PLS,long
5882,lifflica,"['L', 'IH0', 'F', 'L', 'IH1', 'K', 'AH0']","['L', 'IH', 'F', 'L', 'IH', 'K', 'AH']",7,simple,PLS,long
8208,orgaral,"['AO0', 'R', 'G', 'AA1', 'R', 'AH0', 'L']","['AO', 'R', 'G', 'AA', 'R', 'AH', 'L']",7,simple,PLS,long
6941,manketa,"['M', 'AE0', 'N', 'K', 'EH1', 'T', 'AH0']","['M', 'AE', 'N', 'K', 'EH', 'T', 'AH']",7,simple,PLS,long
4413,jumethena,"['JH', 'UW1', 'M', 'TH', 'IY0', 'N', 'AE']","['JH', 'UW', 'M', 'TH', 'IY', 'N', 'AE']",7,simple,PLS,long
5552,chalicia,"['CH', 'AH0', 'L', 'IH1', 'S', 'IY0', 'AH0']","['CH', 'AH', 'L', 'IH', 'S', 'IY', 'AH']",7,simple,PLS,long
8821,admilaire,"['AE1', 'D', 'M', 'AH0', 'L', 'EH2', 'R']","['AE', 'D', 'M', 'AH', 'L', 'EH', 'R']",7,simple,PLS,long
7619,dristive,"['D', 'R', 'IH1', 'S', 'T', 'IH0', 'V']","['D', 'R', 'IH', 'S', 'T', 'IH', 'V']",7,simple,PLS,long
9816,shosequin,"['SH', 'OW1', 'S', 'K', 'W', 'IH0', 'N']","['SH', 'OW', 'S', 'K', 'W', 'IH', 'N']",7,simple,PLS,long
6061,inturshle,"['IH0', 'N', 'T', 'ER1', 'CH', 'AH0', 'L']","['IH', 'N', 'T', 'ER', 'CH', 'AH', 'L']",7,simple,PLS,long
10107,hunfict,"['HH', 'AH0', 'N', 'F', 'IH1', 'K', 'T']","['HH', 'AH', 'N', 'F', 'IH', 'K', 'T']",7,simple,PLS,long
3758,relorma,"['R', 'IH0', 'L', 'AO1', 'R', 'M', 'AH0']","['R', 'IH', 'L', 'AO', 'R', 'M', 'AH']",7,simple,PLS,long
6664,eurtiance,"['Y', 'UH1', 'R', 'SH', 'AH0', 'N', 'S']","['Y', 'UH', 'R', 'SH', 'AH', 'N', 'S']",7,simple,PLS,long
3229,plexan,"['P', 'L', 'EH1', 'K', 'S', 'AH0', 'N']","['P', 'L', 'EH', 'K', 'S', 'AH', 'N']",7,simple,PLS,long
3446,togento,"['T', 'OW0', 'JH', 'EH1', 'N', 'T', 'OW0']","['T', 'OW', 'JH', 'EH', 'N', 'T', 'OW']",7,simple,PLS,long
3540,taxond,"['T', 'AE1', 'K', 'S', 'AH0', 'N', 'D']","['T', 'AE', 'K', 'S', 'AH', 'N', 'D']",7,simple,PLS,long
3604,rananut,"['R', 'AE1', 'N', 'AH0', 'N', 'AH2', 'T']","['R', 'AE', 'N', 'AH', 'N', 'AH', 'T']",7,simple,PLS,long
3732,grovion,"['G', 'R', 'OW1', 'V', 'IY0', 'AH0', 'N']","['G', 'R', 'OW', 'V', 'IY', 'AH', 'N']",7,simple,PLS,long
3941,memagor,"['M', 'EH1', 'M', 'AH0', 'G', 'AO2', 'R']","['M', 'EH', 'M', 'AH', 'G', 'AO', 'R']",7,simple,PLS,long
3996,gazakin,"['G', 'AE1', 'Z', 'AH0', 'K', 'IH0', 'N']","['G', 'AE', 'Z', 'AH', 'K', 'IH', 'N']",7,simple,PLS,long
4040,limillit,"['L', 'IH1', 'M', 'AH0', 'L', 'AH0', 'T']","['L', 'IH', 'M', 'AH', 'L', 'AH', 'T']",7,simple,PLS,long
4058,liscuse,"['L', 'IH0', 'S', 'K', 'Y', 'UW1', 'S']","['L', 'IH', 'S', 'K', 'Y', 'UW', 'S']",7,simple,PLS,long
4141,aslatif,"['AH0', 'S', 'L', 'AH1', 'T', 'IH0', 'F']","['AH', 'S', 'L', 'AH', 'T', 'IH', 'F']",7,simple,PLS,long
