,Word,Phonemes,No Stress,Length,Morphology,Condition,Size
1418,invem,"['IH0', 'N', 'V', 'EH1', 'M']","['IH', 'N', 'V', 'EH', 'M']",5,complex,PSC,short
1448,befic,"['B', 'IH0', 'F', 'IH1', 'K']","['B', 'IH', 'F', 'IH', 'K']",5,complex,PSC,short
1467,invor,"['IH0', 'N', 'V', 'AO1', 'R']","['IH', 'N', 'V', 'AO', 'R']",5,complex,PSC,short
1575,advio,"['AE1', 'D', 'V', 'IY0', 'OW2']","['AE', 'D', 'V', 'IY', 'OW']",5,complex,PSC,short
1786,biomo,"['B', 'IY0', 'OW1', 'M', 'OW0']","['B', 'IY', 'OW', 'M', 'OW']",5,complex,PSC,short
1973,himby,"['HH', 'IH1', 'M', 'B', 'IY0']","['HH', 'IH', 'M', 'B', 'IY']",5,complex,PSC,short
2013,ecorg,"['IY1', 'K', 'AO0', 'R', 'G']","['IY', 'K', 'AO', 'R', 'G']",5,complex,PSC,short
2036,govio,"['G', 'OW1', 'V', 'IY0', 'OW0']","['G', 'OW', 'V', 'IY', 'OW']",5,complex,PSC,short
2050,opist,"['OW1', 'P', 'IH0', 'S', 'T']","['OW', 'P', 'IH', 'S', 'T']",5,complex,PSC,short
2170,soput,"['S', 'OW1', 'P', 'AH0', 'T']","['S', 'OW', 'P', 'AH', 'T']",5,complex,PSC,short
2310,himem,"['HH', 'IH1', 'M', 'AH0', 'M']","['HH', 'IH', 'M', 'AH', 'M']",5,complex,PSC,short
2352,assasy,"['AH0', 'S', 'AA1', 'S', 'IY0']","['AH', 'S', 'AA', 'S', 'IY']",5,complex,PSC,short
2377,defork,"['D', 'EH1', 'F', 'ER0', 'K']","['D', 'EH', 'F', 'ER', 'K']",5,complex,PSC,short
2405,redwee,"['R', 'EH1', 'D', 'W', 'IY2']","['R', 'EH', 'D', 'W', 'IY']",5,complex,PSC,short
2425,getert,"['G', 'EH1', 'T', 'ER0', 'T']","['G', 'EH', 'T', 'ER', 'T']",5,complex,PSC,short
2436,bilway,"['B', 'IH1', 'L', 'W', 'EY2']","['B', 'IH', 'L', 'W', 'EY']",5,complex,PSC,short
2453,eurown,"['Y', 'UW1', 'R', 'AW0', 'N']","['Y', 'UW', 'R', 'AW', 'N']",5,complex,PSC,short
2456,perlic,"['P', 'ER1', 'L', 'IH0', 'K']","['P', 'ER', 'L', 'IH', 'K']",5,complex,PSC,short
2486,anymed,"['AH0', 'N', 'IY1', 'M', 'D']","['AH', 'N', 'IY', 'M', 'D']",5,complex,PSC,short
2487,radice,"['R', 'AE1', 'D', 'IH0', 'S']","['R', 'AE', 'D', 'IH', 'S']",5,complex,PSC,short
2516,whomat,"['HH', 'OW1', 'M', 'AE2', 'T']","['HH', 'OW', 'M', 'AE', 'T']",5,complex,PSC,short
2546,ferside,"['F', 'ER1', 'S', 'AY2', 'D']","['F', 'ER', 'S', 'AY', 'D']",5,complex,PSC,short
2552,pertat,"['P', 'ER1', 'T', 'AH0', 'T']","['P', 'ER', 'T', 'AH', 'T']",5,complex,PSC,short
2554,octime,"['AA1', 'K', 'T', 'IY0', 'M']","['AA', 'K', 'T', 'IY', 'M']",5,complex,PSC,short
2567,recause,"['R', 'IY1', 'K', 'AW0', 'S']","['R', 'IY', 'K', 'AW', 'S']",5,complex,PSC,short
2575,mintai,"['M', 'IH0', 'N', 'T', 'AY1']","['M', 'IH', 'N', 'T', 'AY']",5,complex,PSC,short
2628,aggrat,"['AE1', 'G', 'R', 'AE0', 'T']","['AE', 'G', 'R', 'AE', 'T']",5,complex,PSC,short
2634,teetin,"['T', 'IY1', 'T', 'IH0', 'N']","['T', 'IY', 'T', 'IH', 'N']",5,complex,PSC,short
2638,nonver,"['N', 'AA1', 'N', 'V', 'ER0']","['N', 'AA', 'N', 'V', 'ER']",5,complex,PSC,short
2649,macter,"['M', 'AH0', 'K', 'T', 'ER1']","['M', 'AH', 'K', 'T', 'ER']",5,complex,PSC,short
2709,lisole,"['L', 'IH0', 'S', 'OW1', 'L']","['L', 'IH', 'S', 'OW', 'L']",5,complex,PSC,short
2712,mushin,"['M', 'AH1', 'SH', 'IH0', 'N']","['M', 'AH', 'SH', 'IH', 'N']",5,complex,PSC,short
2723,sachno,"['S', 'AE1', 'K', 'N', 'OW0']","['S', 'AE', 'K', 'N', 'OW']",5,complex,PSC,short
2727,hamoss,"['HH', 'EY1', 'M', 'OW0', 'S']","['HH', 'EY', 'M', 'OW', 'S']",5,complex,PSC,short
2848,bulfor,"['B', 'UH1', 'L', 'F', 'ER0']","['B', 'UH', 'L', 'F', 'ER']",5,complex,PSC,short
2941,mullboy,"['M', 'AH1', 'L', 'B', 'OY2']","['M', 'AH', 'L', 'B', 'OY']",5,complex,PSC,short
4759,uncrow,"['AH1', 'N', 'K', 'R', 'AW0']","['AH', 'N', 'K', 'R', 'AW']",5,complex,PSC,short
