,Word,Phonemes,No Stress,Length,Morphology,Condition,Size
8250,innough,"['IH0', 'N', 'AW1']","['IH', 'N', 'AW']",3,complex,PSC,short
8145,authed,"['AO1', 'TH', 'T']","['AO', 'TH', 'T']",3,complex,PSC,short
6901,acooh,"['AH0', 'K', 'UW1']","['AH', 'K', 'UW']",3,complex,PSC,short
4570,eitter,"['AY1', 'T', 'ER0']","['AY', 'T', 'ER']",3,complex,PSC,short
3111,knowee,"['N', 'OW1', 'IY0']","['N', 'OW', 'IY']",3,complex,PSC,short
2561,thitch,"['TH', 'IH1', 'CH']","['TH', 'IH', 'CH']",3,complex,PSC,short
1768,whowi,"['HH', 'UW1', 'IY0']","['HH', 'UW', 'IY']",3,complex,PSC,short
1385,weas,"['W', 'IY1', 'Z']","['W', 'IY', 'Z']",3,complex,PSC,short
302,emmed,"['EH1', 'M', 'D']","['EH', 'M', 'D']",3,complex,PSC,short
242,aggy,"['AE1', 'G', 'IY0']","['AE', 'G', 'IY']",3,complex,PSC,short
2151,ipper,"['IH1', 'P', 'ER0']","['IH', 'P', 'ER']",3,complex,PSC,short
152,soer,"['S', 'AO1', 'R']","['S', 'AO', 'R']",3,complex,PSC,short
189,ealer,"['IY1', 'L', 'ER0']","['IY', 'L', 'ER']",3,complex,PSC,short
219,oddie,"['AA1', 'D', 'IY0']","['AA', 'D', 'IY']",3,complex,PSC,short
254,uppay,"['AH0', 'P', 'AY1']","['AH', 'P', 'AY']",3,complex,PSC,short
98,gews,"['G', 'UW1', 'Z']","['G', 'UW', 'Z']",3,complex,PSC,short
82,dees,"['D', 'IY1', 'Z']","['D', 'IY', 'Z']",3,complex,PSC,short
133,onth,"['AH1', 'N', 'TH']","['AH', 'N', 'TH']",3,complex,PSC,short
156,towy,"['T', 'OW1', 'IY0']","['T', 'OW', 'IY']",3,complex,PSC,short
191,eames,"['IY1', 'M', 'Z']","['IY', 'M', 'Z']",3,complex,PSC,short
192,earts,"['ER1', 'T', 'S']","['ER', 'T', 'S']",3,complex,PSC,short
