,Word,Size,Length,Frequency,Zipf Frequency,Morphology,Lexicality,Part of Speech,Phonemes,No Stress,Condition
28,unkintep,long,9,,,complex,pseudo,,"['AH0', 'N', 'K', 'IH1', 'N', 'T', 'P', 'IH0', 'NG']","['AH', 'N', 'K', 'IH', 'N', 'T', 'P', 'IH', 'NG']",PLC
39,deodeness,long,9,,,complex,pseudo,,"['D', 'IY1', 'D', 'AH0', 'N', 'IH2', 'S', 'AH0', 'Z']","['D', 'IY', 'D', 'AH', 'N', 'IH', 'S', 'AH', 'Z']",PLC
41,deodorism,long,9,,,complex,pseudo,,"['D', 'IY1', 'AH0', 'D', 'R', 'IH2', 'Z', 'AH0', 'M']","['D', 'IY', 'AH', 'D', 'R', 'IH', 'Z', 'AH', 'M']",PLC
43,deoutsell,long,9,,,complex,pseudo,,"['D', 'EH1', 'T', 'W', 'AH0', 'S', 'T', 'AH0', 'L']","['D', 'EH', 'T', 'W', 'AH', 'S', 'T', 'AH', 'L']",PLC
59,misembody,long,9,,,complex,pseudo,,"['M', 'IH0', 'S', 'AH0', 'M', 'B', 'EY1', 'D', 'IY0']","['M', 'IH', 'S', 'AH', 'M', 'B', 'EY', 'D', 'IY']",PLC
69,procredit,long,9,,,complex,pseudo,,"['P', 'R', 'OW0', 'K', 'R', 'EH1', 'D', 'AH0', 'T']","['P', 'R', 'OW', 'K', 'R', 'EH', 'D', 'AH', 'T']",PLC
80,remindful,long,9,,,complex,pseudo,,"['R', 'IY0', 'M', 'IH1', 'N', 'D', 'F', 'AH0', 'L']","['R', 'IY', 'M', 'IH', 'N', 'D', 'F', 'AH', 'L']",PLC
82,reodeness,long,9,,,complex,pseudo,,"['R', 'IY1', 'AH0', 'D', 'IY2', 'N', 'S', 'AH0', 'Z']","['R', 'IY', 'AH', 'D', 'IY', 'N', 'S', 'AH', 'Z']",PLC
83,reodenest,long,9,,,complex,pseudo,,"['R', 'IY2', 'OW0', 'D', 'EH1', 'N', 'AH0', 'S', 'T']","['R', 'IY', 'OW', 'D', 'EH', 'N', 'AH', 'S', 'T']",PLC
89,tattooism,long,9,,,complex,pseudo,,"['T', 'AE1', 'T', 'AH0', 'W', 'IH2', 'Z', 'AH0', 'M']","['T', 'AE', 'T', 'AH', 'W', 'IH', 'Z', 'AH', 'M']",PLC
90,tensenest,long,9,,,complex,pseudo,,"['T', 'EH1', 'N', 'S', 'AH0', 'N', 'AH0', 'S', 'T']","['T', 'EH', 'N', 'S', 'AH', 'N', 'AH', 'S', 'T']",PLC
93,undefully,long,9,,,complex,pseudo,,"['AH2', 'N', 'D', 'AH0', 'F', 'Y', 'AH0', 'L', 'IY0']","['AH', 'N', 'D', 'AH', 'F', 'Y', 'AH', 'L', 'IY']",PLC
99,uniforist,long,9,,,complex,pseudo,,"['Y', 'UW1', 'N', 'AH0', 'F', 'AO2', 'R', 'S', 'T']","['Y', 'UW', 'N', 'AH', 'F', 'AO', 'R', 'S', 'T']",PLC
100,uniforize,long,9,,,complex,pseudo,,"['Y', 'UW1', 'N', 'AH0', 'F', 'AO2', 'R', 'AY2', 'Z']","['Y', 'UW', 'N', 'AH', 'F', 'AO', 'R', 'AY', 'Z']",PLC
110,weirdnest,long,9,,,complex,pseudo,,"['W', 'ER1', 'D', 'AH0', 'N', 'S', 'T', 'AH0', 'T']","['W', 'ER', 'D', 'AH', 'N', 'S', 'T', 'AH', 'T']",PLC
113,wisembark,long,9,,,complex,pseudo,,"['W', 'IH1', 'Z', 'AH0', 'M', 'B', 'AA2', 'R', 'K']","['W', 'IH', 'Z', 'AH', 'M', 'B', 'AA', 'R', 'K']",PLC
115,wisreport,long,9,,,complex,pseudo,,"['W', 'IH1', 'S', 'R', 'IH0', 'P', 'AO2', 'R', 'T']","['W', 'IH', 'S', 'R', 'IH', 'P', 'AO', 'R', 'T']",PLC
