,Word,Phonemes,No Stress,Length,Morphology

3257,trysib,"['T', 'R', 'IH1', 'S', 'AH0', 'B', 'AH0', 'N']","['T', 'R', 'IH', 'S', 'AH', 'B', 'AH', 'N']",8,simple
3295,tosbabl,"['T', 'OW1', 'S', 'B', 'AH0', 'B', 'AH0', 'L']","['T', 'OW', 'S', 'B', 'AH', 'B', 'AH', 'L']",8,simple
3302,unaboli,"['Y', 'UW2', 'N', 'AH0', 'B', 'OW1', 'L', 'IY0']","['Y', 'UW', 'N', 'AH', 'B', 'OW', 'L', 'IY']",8,simple
3321,pedusac,"['P', 'EH2', 'D', 'AH0', 'S', 'UW1', 'S', 'K']","['P', 'EH', 'D', 'AH', 'S', 'UW', 'S', 'K']",8,simple
3325,exprovi,"['IH0', 'K', 'S', 'P', 'R', 'UW1', 'V', 'IY0']","['IH', 'K', 'S', 'P', 'R', 'UW', 'V', 'IY']",8,simple
3369,usuartu,"['Y', 'UW2', 'S', 'UW0', 'AA0', 'R', 'T', 'UW1']","['Y', 'UW', 'S', 'UW', 'AA', 'R', 'T', 'UW']",8,simple
3379,livesti,"['L', 'IY0', 'EH0', 'S', 'T', 'IY1', 'V', 'IY0']","['L', 'IY', 'EH', 'S', 'T', 'IY', 'V', 'IY']",8,simple
3504,exparks,"['IH0', 'K', 'S', 'P', 'AA1', 'R', 'K', 'S']","['IH', 'K', 'S', 'P', 'AA', 'R', 'K', 'S']",8,simple
3505,exambna,"['IH0', 'G', 'Z', 'AE1', 'M', 'B', 'AH0', 'N']","['IH', 'G', 'Z', 'AE', 'M', 'B', 'AH', 'N']",8,simple
3638,usuarip,"['Y', 'UW1', 'S', 'AH0', 'W', 'ER0', 'IH0', 'NG']","['Y', 'UW', 'S', 'AH', 'W', 'ER', 'IH', 'NG']",8,simple
3659,tesocra,"['T', 'EH2', 'S', 'AH0', 'K', 'R', 'IY1', 'AH0']","['T', 'EH', 'S', 'AH', 'K', 'R', 'IY', 'AH']",8,simple
3677,explion,"['IH0', 'K', 'S', 'P', 'L', 'IY1', 'AH0', 'N']","['IH', 'K', 'S', 'P', 'L', 'IY', 'AH', 'N']",8,simple
3772,redusac,"['R', 'IY2', 'D', 'Y', 'UW1', 'S', 'AE0', 'K']","['R', 'IY', 'D', 'Y', 'UW', 'S', 'AE', 'K']",8,simple
3773,luxuals,"['L', 'AH1', 'K', 'S', 'UW2', 'AH0', 'L', 'Z']","['L', 'AH', 'K', 'S', 'UW', 'AH', 'L', 'Z']",8,simple
3900,univent,"['Y', 'UW1', 'N', 'AH0', 'V', 'EH2', 'N', 'T']","['Y', 'UW', 'N', 'AH', 'V', 'EH', 'N', 'T']",8,simple
