,Word,Phonemes,No Stress,Length,Morphology
1,sec,"['S', 'EH1', 'K']","['S', 'EH', 'K']",3,simple
2,aro,"['AA1', 'R', 'OW0']","['AA', 'R', 'OW']",3,simple
5,mot,"['M', 'AO1', 'T']","['M', 'AO', 'T']",3,simple
6,sta,"['S', 'T', 'AH1']","['S', 'T', 'AH']",3,simple
7,hig,"['HH', 'AY1', 'G']","['HH', 'AY', 'G']",3,simple
10,rel,"['R', 'EH1', 'L']","['R', 'EH', 'L']",3,simple
11,ref,"['R', 'EH1', 'F']","['R', 'EH', 'F']",3,simple
15,ser,"['S', 'EH1', 'R']","['S', 'EH', 'R']",3,simple
17,reb,"['R', 'EH1', 'B']","['R', 'EH', 'B']",3,simple
18,pos,"['P', 'AA1', 'S']","['P', 'AA', 'S']",3,simple
20,clo,"['K', 'L', 'OW1']","['K', 'L', 'OW']",3,simple
24,sys,"['S', 'IH1', 'S']","['S', 'IH', 'S']",3,simple
26,bal,"['B', 'AE1', 'L']","['B', 'AE', 'L']",3,simple
33,fas,"['F', 'AE1', 'Z']","['F', 'AE', 'Z']",3,simple
36,rep,"['R', 'EH1', 'P']","['R', 'EH', 'P']",3,simple
42,bri,"['B', 'R', 'AY1']","['B', 'R', 'AY']",3,simple
43,sig,"['S', 'IH1', 'G']","['S', 'IH', 'G']",3,simple
47,ind,"['IH1', 'N', 'D']","['IH', 'N', 'D']",3,simple
49,int,"['IH1', 'N', 'T']","['IH', 'N', 'T']",3,simple
52,dia,"['D', 'IY1', 'AH0']","['D', 'IY', 'AH']",3,simple
53,fac,"['F', 'AE1', 'K']","['F', 'AE', 'K']",3,simple
55,inv,"['IH1', 'N', 'V']","['IH', 'N', 'V']",3,simple
57,lon,"['L', 'AA1', 'N']","['L', 'AA', 'N']",3,simple
60,dro,"['D', 'R', 'OW1']","['D', 'R', 'OW']",3,simple
65,mec,"['M', 'EH1', 'K']","['M', 'EH', 'K']",3,simple
69,pul,"['P', 'AH1', 'L']","['P', 'AH', 'L']",3,simple
72,dat,"['D', 'AE1', 'T']","['D', 'AE', 'T']",3,simple
74,vol,"['V', 'OW1', 'L']","['V', 'OW', 'L']",3,simple
75,alr,"['AA1', 'L', 'ER0']","['AA', 'L', 'ER']",3,simple
78,sev,"['S', 'EH1', 'V']","['S', 'EH', 'V']",3,simple
79,nat,"['N', 'AE1', 'T']","['N', 'AE', 'T']",3,simple
80,inj,"['IH1', 'N', 'JH']","['IH', 'N', 'JH']",3,simple
81,sco,"['S', 'K', 'OW1']","['S', 'K', 'OW']",3,simple
82,cos,"['K', 'AO1', 'S']","['K', 'AO', 'S']",3,simple
83,tot,"['T', 'AA1', 'T']","['T', 'AA', 'T']",3,simple
84,dev,"['D', 'EH1', 'V']","['D', 'EH', 'V']",3,simple
85,fol,"['F', 'OW1', 'L']","['F', 'OW', 'L']",3,simple
87,bro,"['B', 'R', 'OW1']","['B', 'R', 'OW']",3,simple
88,tal,"['T', 'AA1', 'L']","['T', 'AA', 'L']",3,simple
89,ger,"['JH', 'EH1', 'R']","['JH', 'EH', 'R']",3,simple
91,cli,"['K', 'L', 'AY1']","['K', 'L', 'AY']",3,simple
92,chr,"['CH', 'IY1', 'ER1']","['CH', 'IY', 'ER']",3,simple
93,gra,"['G', 'R', 'AA1']","['G', 'R', 'AA']",3,simple
