,Word,Phonemes,No Stress,Length,Morphology
35,nic,"['EH1', 'N', 'AY1', 'S', 'IY1']","['EH', 'N', 'AY', 'S', 'IY']",5,simple
185,abs,"['EY1', 'B', 'IY1', 'EH1', 'S']","['EY', 'B', 'IY', 'EH', 'S']",5,simple
290,onl,"['AO1', 'N', 'D', 'AH0', 'L']","['AO', 'N', 'D', 'AH', 'L']",5,simple
420,imm,"['AY1', 'EH1', 'M', 'EH1', 'M']","['AY', 'EH', 'M', 'EH', 'M']",5,simple
635,exac,"['EH1', 'K', 'S', 'AE0', 'K']","['EH', 'K', 'S', 'AE', 'K']",5,simple
637,requ,"['R', 'EH1', 'K', 'W', 'IY0']","['R', 'EH', 'K', 'W', 'IY']",5,simple
652,winu,"['W', 'IH1', 'N', 'Y', 'UW0']","['W', 'IH', 'N', 'Y', 'UW']",5,simple
762,answ,"['AE1', 'N', 'S', 'W', 'AA2']","['AE', 'N', 'S', 'W', 'AA']",5,simple
875,univ,"['Y', 'UW1', 'N', 'IH0', 'V']","['Y', 'UW', 'N', 'IH', 'V']",5,simple
963,betw,"['B', 'EH1', 'T', 'W', 'AH1']","['B', 'EH', 'T', 'W', 'AH']",5,simple
1181,excu,"['IH0', 'K', 'S', 'K', 'UW1']","['IH', 'K', 'S', 'K', 'UW']",5,simple
1215,cusi,"['K', 'Y', 'UW1', 'S', 'IY0']","['K', 'Y', 'UW', 'S', 'IY']",5,simple
1376,popu,"['P', 'OW1', 'P', 'Y', 'UW0']","['P', 'OW', 'P', 'Y', 'UW']",5,simple
1391,retw,"['R', 'EH1', 'T', 'W', 'AH1']","['R', 'EH', 'T', 'W', 'AH']",5,simple
1418,invem,"['IH0', 'N', 'V', 'EH1', 'M']","['IH', 'N', 'V', 'EH', 'M']",5,simple
1435,gresi,"['G', 'R', 'EH1', 'Z', 'IY0']","['G', 'R', 'EH', 'Z', 'IY']",5,simple
1447,debso,"['D', 'EH1', 'S', 'B', 'OW0']","['D', 'EH', 'S', 'B', 'OW']",5,simple
1448,befic,"['B', 'IH0', 'F', 'IH1', 'K']","['B', 'IH', 'F', 'IH', 'K']",5,simple
1455,ezeci,"['EH2', 'Z', 'EH1', 'S', 'IY0']","['EH', 'Z', 'EH', 'S', 'IY']",5,simple
1467,invor,"['IH0', 'N', 'V', 'AO1', 'R']","['IH', 'N', 'V', 'AO', 'R']",5,simple
1471,seget,"['S', 'EH1', 'G', 'IH0', 'T']","['S', 'EH', 'G', 'IH', 'T']",5,simple
1484,fesig,"['F', 'EH1', 'S', 'IH0', 'G']","['F', 'IY', 'S', 'IH', 'G']",5,simple
1501,educa,"['EH0', 'D', 'UW1', 'K', 'AH0']","['EH', 'D', 'UW', 'K', 'AH']",5,simple
1506,peopp,"['P', 'EH1', 'P', 'AO0', 'P']","['P', 'EH', 'P', 'AO', 'P']",5,simple
1526,requi,"['R', 'K', 'EH1', 'W', 'IY0']","['R', 'K', 'EH', 'W', 'IY']",5,simple
1571,engla,"['IH1', 'NG', 'G', 'L', 'AH0']","['IH', 'NG', 'G', 'L', 'AH']",5,simple
1575,advio,"['AE1', 'D', 'V', 'IY0', 'OW2']","['AE', 'D', 'V', 'IY', 'OW']",5,simple
1589,smazi,"['S', 'M', 'AA1', 'Z', 'IY0']","['S', 'M', 'AA', 'Z', 'IY']",5,simple
1630,lespa,"['L', 'EH1', 'S', 'P', 'AH0']","['L', 'EH', 'S', 'P', 'AH']",5,simple
1653,envin,"['EH1', 'N', 'V', 'IH0', 'N']","['EH', 'N', 'V', 'IH', 'N']",5,simple
1658,motai,"['M', 'OW0', 'T', 'AA1', 'IY0']","['M', 'OW', 'T', 'AA', 'IY']",5,simple
1659,sompu,"['S', 'AH1', 'M', 'P', 'UW0']","['S', 'AH', 'M', 'P', 'UW']",5,simple
1678,euris,"['Y', 'UW1', 'R', 'IH0', 'S']","['Y', 'UW', 'R', 'IH', 'S']",5,simple
1695,winua,"['W', 'IH1', 'N', 'Y', 'AH0']","['W', 'IH', 'N', 'Y', 'AH']",5,simple
1731,suptu,"['S', 'AH1', 'P', 'CH', 'UW0']","['S', 'AH', 'P', 'CH', 'UW']",5,simple
1745,opeci,"['OW0', 'P', 'IY1', 'S', 'IY0']","['OW', 'P', 'IY', 'S', 'IY']",5,simple
1774,sersu,"['S', 'EH1', 'R', 'S', 'UW0']","['S', 'EH', 'R', 'S', 'UW']",5,simple
1786,biomo,"['B', 'IY0', 'OW1', 'M', 'OW0']","['B', 'IY', 'OW', 'M', 'OW']",5,simple
1790,secom,"['S', 'EH1', 'K', 'AA0', 'M']","['S', 'EH', 'K', 'AA', 'M']",5,simple
1817,simpu,"['S', 'IH1', 'M', 'P', 'UW0']","['S', 'IH', 'M', 'P', 'UW']",5,simple
1845,resoc,"['R', 'EH1', 'S', 'AA0', 'K']","['R', 'EH', 'S', 'AA', 'K']",5,simple
1875,becem,"['B', 'EH1', 'S', 'AH0', 'M']","['B', 'EH', 'S', 'AH', 'M']",5,simple
1876,remoc,"['R', 'EH1', 'M', 'AA2', 'K']","['R', 'EH', 'M', 'AA', 'K']",5,simple
1892,pubje,"['P', 'AH1', 'B', 'JH', 'IY0']","['P', 'AH', 'B', 'JH', 'IY']",5,simple
1907,oriva,"['AO0', 'R', 'IY1', 'V', 'AH0']","['AO', 'R', 'IY', 'V', 'AH']",5,simple
1926,enfic,"['EH1', 'N', 'F', 'IH0', 'K']","['EH', 'N', 'F', 'IH', 'K']",5,simple
1934,hapta,"['HH', 'AE1', 'P', 'T', 'AH0']","['HH', 'AE', 'P', 'T', 'AH']",5,simple
1949,impab,"['IH0', 'M', 'P', 'B', 'AE1']","['IH', 'M', 'P', 'B', 'AE']",5,simple
1952,estit,"['EH1', 'S', 'T', 'IH0', 'T']","['EH', 'S', 'T', 'IH', 'T']",5,simple
1961,getua,"['G', 'AH0', 'T', 'UW1', 'AH0']","['G', 'AH', 'T', 'UW', 'AH']",5,simple
1973,himby,"['HH', 'IH1', 'M', 'B', 'IY0']","['HH', 'IH', 'M', 'B', 'IY']",5,simple
1988,remem,"['R', 'EH1', 'M', 'AH0', 'M']","['R', 'EH', 'M', 'AH', 'M']",5,simple
1995,slosp,"['S', 'L', 'AA1', 'S', 'P']","['S', 'L', 'AA', 'S', 'P']",5,simple
2006,mictu,"['M', 'IH1', 'K', 'CH', 'UW0']","['M', 'IH', 'K', 'CH', 'UW']",5,simple
2007,sovis,"['S', 'OW1', 'V', 'IH0', 'S']","['S', 'OW', 'V', 'IH', 'S']",5,simple
2013,ecorg,"['IY1', 'K', 'AO0', 'R', 'G']","['IY', 'K', 'AO', 'R', 'G']",5,simple
2014,belig,"['B', 'EH1', 'L', 'IH0', 'G']","['B', 'EH', 'L', 'IH', 'G']",5,simple
2019,itsea,"['IH1', 'T', 'S', 'IY0', 'AH0']","['IH', 'T', 'S', 'IY', 'AH']",5,simple
2036,govio,"['G', 'OW1', 'V', 'IY0', 'OW0']","['G', 'OW', 'V', 'IY', 'OW']",5,simple
2046,sampu,"['S', 'AE1', 'M', 'P', 'UW0']","['S', 'AE', 'M', 'P', 'UW']",5,simple
2050,opist,"['OW1', 'P', 'IH0', 'S', 'T']","['OW', 'P', 'IH', 'S', 'T']",5,simple
2062,encom,"['EH1', 'N', 'K', 'AA2', 'M']","['EH', 'N', 'K', 'AA', 'M']",5,simple
2083,modfr,"['M', 'AA1', 'D', 'F', 'ER0']","['M', 'AA', 'D', 'F', 'ER']",5,simple
2098,arogr,"['EH1', 'R', 'AH0', 'G', 'ER0']","['EH', 'R', 'AH', 'G', 'ER']",5,simple
2109,abros,"['EY1', 'B', 'R', 'OW0', 'Z']","['EY', 'B', 'R', 'OW', 'Z']",5,simple
2115,amstu,"['AE1', 'M', 'S', 'T', 'UW0']","['AE', 'M', 'S', 'T', 'UW']",5,simple
2117,dolif,"['D', 'AA1', 'L', 'IH0', 'F']","['D', 'AA', 'L', 'IH', 'F']",5,simple
2130,belcu,"['B', 'EH1', 'L', 'K', 'UW0']","['B', 'EH', 'L', 'K', 'UW']",5,simple
2131,foctu,"['F', 'AA1', 'K', 'CH', 'UW0']","['F', 'AA', 'K', 'CH', 'UW']",5,simple
2137,becro,"['B', 'EH1', 'K', 'R', 'OW0']","['B', 'EH', 'K', 'R', 'OW']",5,simple
2170,soput,"['S', 'OW1', 'P', 'AH0', 'T']","['S', 'OW', 'P', 'AH', 'T']",5,simple
2206,nurpo,"['N', 'UH1', 'R', 'P', 'OW0']","['N', 'UH', 'R', 'P', 'OW']",5,simple
2208,dicta,"['D', 'IH1', 'K', 'T', 'AH0']","['D', 'IH', 'K', 'T', 'AH']",5,simple
2215,imazi,"['IH0', 'M', 'AA1', 'Z', 'IY0']","['IH', 'M', 'AA', 'Z', 'IY']",5,simple
2239,aluti,"['AH0', 'L', 'UW1', 'T', 'IY0']","['AH', 'L', 'UW', 'T', 'IY']",5,simple
2243,invol,"['IH0', 'N', 'V', 'AO1', 'L']","['IH', 'N', 'V', 'AO', 'L']",5,simple
2249,retwe,"['R', 'EH1', 'T', 'W', 'AA0']","['R', 'EH', 'T', 'W', 'AA']",5,simple
2259,picre,"['P', 'AY1', 'K', 'R', 'AH0']","['P', 'AY', 'K', 'R', 'AH']",5,simple
2267,anaha,"['AE1', 'N', 'AH0', 'HH', 'AA2']","['AE', 'N', 'AH', 'HH', 'AA']",5,simple
2279,motac,"['M', 'OW1', 'T', 'AH0', 'K']","['M', 'OW', 'T', 'AH', 'K']",5,simple
2304,abanc,"['EY1', 'B', 'AH0', 'NG', 'K']","['EY', 'B', 'AH', 'NG', 'K']",5,simple
