,Word,Phonemes,No Stress,Length,Morphology
7848,diverininue,"['D', 'AY0', 'V', 'ER1', 'AH0', 'N', 'IY0', 'AH0', 'N']","['D', 'AY', 'V', 'ER', 'AH', 'N', 'IY', 'AH', 'N']",9,simple
7853,wheratitely,"['W', 'EH1', 'R', 'AH0', 'T', 'AH0', 'T', 'L', 'IY0']","['W', 'EH', 'R', 'AH', 'T', 'AH', 'T', 'L', 'IY']",9,simple
7896,sittinentin,"['S', 'IH1', 'T', 'IH0', 'N', 'T', 'AH0', 'N', 'T']","['S', 'IH', 'T', 'IH', 'N', 'T', 'AH', 'N', 'T']",9,simple
7906,anstevemed,"['AE0', 'N', 'S', 'T', 'EH1', 'V', 'AH0', 'D', 'T']","['AE', 'N', 'S', 'T', 'EH', 'V', 'AH', 'D', 'T']",9,simple
7932,wontrooking,"['W', 'AH1', 'N', 'T', 'R', 'UH2', 'K', 'IH0', 'NG']","['W', 'AH', 'N', 'T', 'R', 'UH', 'K', 'IH', 'NG']",9,simple
7955,instespors,"['IH1', 'N', 'S', 'T', 'IH0', 'S', 'P', 'ER0', 'Z']","['IH', 'N', 'S', 'T', 'IH', 'S', 'P', 'ER', 'Z']",9,simple
7960,quartages,"['K', 'W', 'AO1', 'R', 'T', 'IH0', 'JH', 'IH0', 'Z']","['K', 'W', 'AO', 'R', 'T', 'IH', 'JH', 'IH', 'Z']",9,simple
7964,perritedly,"['P', 'ER1', 'R', 'IH0', 'T', 'IH0', 'D', 'L', 'IY0']","['P', 'ER', 'R', 'IH', 'T', 'IH', 'D', 'L', 'IY']",9,simple
7977,socititions,"['S', 'AH0', 'S', 'IH1', 'T', 'AH0', 'N', 'AH0', 'S']","['S', 'AH', 'S', 'IH', 'T', 'AH', 'N', 'AH', 'S']",9,simple
7987,reveridand,"['R', 'EH2', 'V', 'ER0', 'D', 'IY1', 'D', 'AH0', 'N']","['R', 'EH', 'V', 'ER', 'D', 'IY', 'D', 'AH', 'N']",9,simple
8007,tecurisan,"['T', 'EH2', 'K', 'Y', 'ER0', 'IY1', 'Z', 'AH0', 'N']","['T', 'EH', 'K', 'Y', 'ER', 'IY', 'Z', 'AH', 'N']",9,simple
8055,peadicult,"['P', 'EH1', 'D', 'AH0', 'K', 'Y', 'AH0', 'L', 'T']","['P', 'EH', 'D', 'AH', 'K', 'Y', 'AH', 'L', 'T']",9,simple
8087,lignishely,"['L', 'IH1', 'G', 'N', 'IH0', 'SH', 'AH0', 'L', 'IY0']","['L', 'IH', 'G', 'N', 'IH', 'SH', 'AH', 'L', 'IY']",9,simple
8107,inverital,"['IH0', 'N', 'V', 'EH1', 'R', 'AH0', 'T', 'AH0', 'L']","['IH', 'N', 'V', 'EH', 'R', 'AH', 'T', 'AH', 'L']",9,simple
8108,proplized,"['P', 'R', 'AA1', 'P', 'AH0', 'L', 'AY2', 'Z', 'D']","['P', 'R', 'AA', 'P', 'AH', 'L', 'AY', 'Z', 'D']",9,simple
8136,unitices,"['Y', 'UW1', 'N', 'AH0', 'T', 'IH2', 'S', 'T', 'S']","['Y', 'UW', 'N', 'AH', 'T', 'IH', 'S', 'T', 'S']",9,simple
8162,fruntrence,"['F', 'R', 'AH1', 'N', 'T', 'R', 'AH0', 'N', 'S']","['F', 'R', 'AH', 'N', 'T', 'R', 'AH', 'N', 'S']",9,simple
8171,regravoinme,"['R', 'IH0', 'G', 'R', 'EY1', 'V', 'M', 'AY0', 'N']","['R', 'IH', 'G', 'R', 'EY', 'V', 'M', 'AY', 'N']",9,simple
8201,popportely,"['P', 'AH0', 'P', 'AO1', 'R', 'T', 'AH0', 'L', 'IY0']","['P', 'AH', 'P', 'AO', 'R', 'T', 'AH', 'L', 'IY']",9,simple
8207,squalicess,"['S', 'K', 'W', 'AA1', 'L', 'AH0', 'S', 'IH0', 'Z']","['S', 'K', 'W', 'AA', 'L', 'AH', 'S', 'IH', 'Z']",9,simple
8210,yorcessful,"['Y', 'AO2', 'R', 'S', 'EH1', 'F', 'S', 'AH0', 'L']","['Y', 'AO', 'R', 'S', 'EH', 'F', 'S', 'AH', 'L']",9,simple
8222,navinsiate,"['N', 'AE1', 'N', 'V', 'IH0', 'S', 'IY0', 'EY2', 'T']","['N', 'AE', 'N', 'V', 'IH', 'S', 'IY', 'EY', 'T']",9,simple
8238,populaines,"['P', 'AA1', 'P', 'Y', 'AH0', 'L', 'EY2', 'N', 'Z']","['P', 'AA', 'P', 'Y', 'AH', 'L', 'EY', 'N', 'Z']",9,simple
8240,adminsonate,"['AE0', 'D', 'M', 'IH1', 'N', 'AH0', 'S', 'EY2', 'T']","['AE', 'D', 'M', 'IH', 'N', 'AH', 'S', 'EY', 'T']",9,simple
8271,incomised,"['IH0', 'N', 'K', 'AH0', 'M', 'Y', 'UW1', 'Z', 'D']","['IH', 'N', 'K', 'AH', 'M', 'Y', 'UW', 'Z', 'D']",9,simple
8282,pormently,"['P', 'AO1', 'R', 'M', 'AH0', 'N', 'T', 'L', 'IY0']","['P', 'AO', 'R', 'M', 'AH', 'N', 'T', 'L', 'IY']",9,simple
8296,enraneted,"['EH0', 'N', 'R', 'AE1', 'N', 'AH0', 'T', 'AH0', 'D']","['EH', 'N', 'R', 'AE', 'N', 'AH', 'T', 'AH', 'D']",9,simple
8373,outuarate,"['AW2', 'T', 'Y', 'UW0', 'AE1', 'R', 'Y', 'AH0', 'T']","['AW', 'T', 'Y', 'UW', 'AE', 'R', 'Y', 'AH', 'T']",9,simple
8424,dourselvely,"['D', 'AO1', 'R', 'S', 'AH0', 'L', 'V', 'IH2', 'L']","['D', 'AO', 'R', 'S', 'AH', 'L', 'V', 'IH', 'L']",9,simple
8457,engistioneur,"['EH0', 'N', 'JH', 'IH1', 'S', 'CH', 'AH0', 'N', 'ER0']","['EH', 'N', 'JH', 'IH', 'S', 'CH', 'AH', 'N', 'ER']",9,simple
8486,deactiment,"['D', 'IY1', 'K', 'T', 'IH2', 'M', 'AH0', 'N', 'T']","['D', 'IY', 'K', 'T', 'IH', 'M', 'AH', 'N', 'T']",9,simple
8500,relticipan,"['R', 'IY0', 'L', 'T', 'IH1', 'S', 'P', 'AH0', 'N']","['R', 'IY', 'L', 'T', 'IH', 'S', 'P', 'AH', 'N']",9,simple
