,Word,Phonemes,No Stress,Length,Morphology
5575,skileased,"['S', 'K', 'IY1', 'L', 'IY0', 'S', 'T']","['S', 'K', 'AY', 'L', 'AH', 'S', 'AH', 'S', 'T']",7,complex
2373,exclat,"['EH1', 'K', 'S', 'K', 'L', 'AE2', 'T']","['EH', 'K', 'S', 'K', 'L', 'AE', 'T']",7,simple
2493,unitic,"['Y', 'UW1', 'N', 'IH0', 'T', 'IH2', 'K']","['Y', 'UW', 'N', 'IH', 'T', 'IH', 'K']",7,simple
2533,exectr,"['IH0', 'G', 'Z', 'EH1', 'K', 'T', 'ER0']","['IH', 'G', 'Z', 'EH', 'K', 'T', 'ER']",7,simple
2574,newisf,"['N', 'UW1', 'Z', 'W', 'IH0', 'K', 'S']","['N', 'UW', 'Z', 'W', 'IH', 'K', 'S']",7,simple
2601,depubl,"['D', 'EH1', 'P', 'AH0', 'B', 'AH0', 'L']","['D', 'EH', 'P', 'AH', 'B', 'AH', 'L']",7,simple
2615,execid,"['EH1', 'K', 'S', 'IH0', 'S', 'EH0', 'D']","['EH', 'K', 'S', 'IH', 'S', 'EH', 'D']",7,simple
2731,kiditl,"['K', 'IH1', 'D', 'AH0', 'T', 'AH0', 'L']","['K', 'IH', 'D', 'AH', 'T', 'AH', 'L']",7,simple
2747,reprox,"['R', 'IY0', 'P', 'R', 'AO1', 'K', 'S']","['R', 'IY', 'P', 'R', 'AO', 'K', 'S']",7,simple
2958,socupa,"['S', 'AH0', 'K', 'Y', 'UW1', 'P', 'AH0']","['S', 'AH', 'K', 'Y', 'UW', 'P', 'AH']",7,simple
2987,divici,"['D', 'IH0', 'V', 'Y', 'UW1', 'S', 'IY0']","['D', 'IH', 'V', 'Y', 'UW', 'S', 'IY']",7,simple
3043,tursib,"['T', 'ER1', 'S', 'AH0', 'B', 'AH0', 'M']","['T', 'ER', 'S', 'AH', 'B', 'AH', 'M']",7,simple
3087,exprop,"['EH1', 'K', 'S', 'P', 'R', 'AA2', 'P']","['EH', 'K', 'S', 'P', 'R', 'AA', 'P']",7,simple
3229,plexan,"['P', 'L', 'EH1', 'K', 'S', 'AH0', 'N']","['P', 'L', 'EH', 'K', 'S', 'AH', 'N']",7,simple
3244,beficl,"['B', 'IH0', 'F', 'IH1', 'K', 'AH0', 'L']","['B', 'IH', 'F', 'IH', 'K', 'AH', 'L']",7,simple
3273,locura,"['L', 'OW0', 'K', 'Y', 'UH1', 'R', 'AH0']","['L', 'OW', 'K', 'Y', 'UH', 'R', 'AH']",7,simple
3330,plectit,"['P', 'L', 'EH1', 'K', 'T', 'IH0', 'T']","['P', 'L', 'EH', 'K', 'T', 'IH', 'T']",7,simple
3332,dissibl,"['D', 'IH1', 'S', 'AH0', 'B', 'AH0', 'L']","['D', 'IH', 'S', 'AH', 'B', 'AH', 'L']",7,simple
3345,conctli,"['K', 'AA1', 'N', 'T', 'K', 'L', 'IY0']","['K', 'AA', 'N', 'T', 'K', 'L', 'IY']",7,simple
3353,outuals,"['AW1', 'T', 'Y', 'UW0', 'AH0', 'L', 'Z']","['AW', 'T', 'Y', 'UW', 'AH', 'L', 'Z']",7,simple
3356,establi,"['EH0', 'S', 'T', 'AA1', 'B', 'L', 'IY0']","['EH', 'S', 'T', 'AA', 'B', 'L', 'IY']",7,simple
3361,ligetim,"['L', 'AY1', 'G', 'IH0', 'T', 'AH0', 'M']","['L', 'AY', 'G', 'IH', 'T', 'AH', 'M']",7,simple
3363,reficat,"['R', 'EH1', 'F', 'IH0', 'K', 'AH0', 'T']","['R', 'EH', 'F', 'IH', 'K', 'AH', 'T']",7,simple
3371,durivat,"['D', 'UH0', 'R', 'IY1', 'V', 'AH0', 'T']","['D', 'UH', 'R', 'IY', 'V', 'AH', 'T']",7,simple
3382,aveldra,"['AH0', 'V', 'EH1', 'L', 'D', 'R', 'AH0']","['AH', 'V', 'EH', 'L', 'D', 'R', 'AH']",7,simple
3384,undents,"['AH1', 'N', 'D', 'AH0', 'N', 'T', 'S']","['AH', 'N', 'D', 'AH', 'N', 'T', 'S']",7,simple
3395,rengren,"['R', 'EH1', 'NG', 'G', 'R', 'AH0', 'N']","['R', 'EH', 'NG', 'G', 'R', 'AH', 'N']",7,simple
3396,witlega,"['W', 'IH0', 'T', 'L', 'IY1', 'G', 'AH0']","['W', 'IH', 'T', 'L', 'IY', 'G', 'AH']",7,simple
3402,agrestr,"['AE1', 'G', 'R', 'EH0', 'S', 'T', 'ER0']","['AE', 'G', 'R', 'EH', 'S', 'T', 'ER']",7,simple
3404,spently,"['S', 'P', 'EH1', 'N', 'T', 'L', 'IY0']","['S', 'P', 'EH', 'N', 'T', 'L', 'IY']",7,simple
3410,hasiden,"['HH', 'AE1', 'Z', 'IH0', 'D', 'AH0', 'N']","['HH', 'AE', 'Z', 'IH', 'D', 'AH', 'N']",7,simple
3428,idencen,"['AY1', 'D', 'AH0', 'N', 'S', 'AH0', 'N']","['AY', 'D', 'AH', 'N', 'S', 'AH', 'N']",7,simple
3430,ruslinu,"['R', 'AH1', 'S', 'L', 'IH0', 'N', 'UW0']","['R', 'AH', 'S', 'L', 'IH', 'N', 'UW']",7,simple
3438,irestio,"['IH0', 'R', 'EH1', 'S', 'T', 'IY0', 'OW0']","['IH', 'R', 'EH', 'S', 'T', 'IY', 'OW']",7,simple
3444,pregnol,"['P', 'R', 'EH1', 'G', 'N', 'AH0', 'L']","['P', 'R', 'EH', 'G', 'N', 'AH', 'L']",7,simple
3446,togento,"['T', 'OW0', 'JH', 'EH1', 'N', 'T', 'OW0']","['T', 'OW', 'JH', 'EH', 'N', 'T', 'OW']",7,simple
3450,indorcy,"['IH1', 'N', 'D', 'R', 'AH0', 'S', 'IY0']","['IH', 'N', 'D', 'R', 'AH', 'S', 'IY']",7,simple
3484,consica,"['K', 'AH0', 'N', 'S', 'IH1', 'K', 'AH0']","['K', 'AH', 'N', 'S', 'IH', 'K', 'AH']",7,simple
3493,extring,"['EH1', 'K', 'S', 'T', 'R', 'IH0', 'NG']","['EH', 'K', 'S', 'T', 'R', 'IH', 'NG']",7,simple
3498,actitom,"['AE1', 'K', 'T', 'IH0', 'T', 'AA0', 'M']","['AE', 'K', 'T', 'IH', 'T', 'AA', 'M']",7,simple
3503,awentud,"['AH0', 'W', 'EH1', 'N', 'T', 'AH0', 'D']","['AH', 'W', 'EH', 'N', 'T', 'AH', 'D']",7,simple
3508,lantral,"['L', 'AE1', 'N', 'T', 'R', 'AH0', 'L']","['L', 'AE', 'N', 'T', 'R', 'AH', 'L']",7,simple
3520,minatif,"['M', 'IY0', 'N', 'AA1', 'T', 'IH0', 'F']","['M', 'IY', 'N', 'AA', 'T', 'IH', 'F']",7,simple
3523,tothuri,"['T', 'OW0', 'HH', 'EH1', 'R', 'CH', 'IY0']","['T', 'OW', 'HH', 'EH', 'R', 'CH', 'IY']",7,simple
3527,registi,"['R', 'IH0', 'JH', 'IH1', 'S', 'T', 'IY0']","['R', 'IH', 'JH', 'IH', 'S', 'T', 'IY']",7,simple
3529,luxuati,"['L', 'AH2', 'K', 'S', 'UW0', 'CH', 'EY1']","['L', 'AH', 'K', 'S', 'UW', 'CH', 'EY']",7,simple
3542,multrol,"['M', 'AH1', 'L', 'T', 'R', 'AO0', 'L']","['M', 'AH', 'L', 'T', 'R', 'AO', 'L']",7,simple
3578,shoustim,"['SH', 'AW1', 'S', 'T', 'M', 'AH0', 'N']","['SH', 'AW', 'S', 'T', 'M', 'AH', 'N']",7,simple
3579,febanti,"['F', 'EH0', 'B', 'AE1', 'N', 'T', 'IY0']","['F', 'EH', 'B', 'AE', 'N', 'T', 'IY']",7,simple
3586,inticin,"['IH1', 'N', 'T', 'IH0', 'S', 'IH0', 'N']","['IH', 'N', 'T', 'IH', 'S', 'IH', 'N']",7,simple
3587,micordi,"['M', 'AY0', 'K', 'AO1', 'R', 'D', 'IY0']","['M', 'AY', 'K', 'AO', 'R', 'D', 'IY']",7,simple
3592,morkety,"['M', 'AO1', 'R', 'K', 'AH0', 'T', 'IY0']","['M', 'AO', 'R', 'K', 'AH', 'T', 'IY']",7,simple
3599,opentry,"['OW1', 'P', 'AH0', 'N', 'T', 'R', 'IY0']","['OW', 'P', 'AH', 'N', 'T', 'R', 'IY']",7,simple
3604,rananut,"['R', 'AE1', 'N', 'AH0', 'N', 'AH2', 'T']","['R', 'AE', 'N', 'AH', 'N', 'AH', 'T']",7,simple
